x, y
0.11156275625841514, 5.636481646549368
0.14339497926751107, 5.6758674481944755
0.17847295576573172, 5.636481646549368
0.222131877297699, 5.519955030778344
0.2873563524685727, 5.636481646549368
0.35765068387624327, 5.715529982565395
0.4567500091524436, 5.959384287986134
0.5540334691776462, 5.9180342592388335
0.7030077094530134, 6.085190517317864
0.9035970363479742, 6.085190517317864
1.1174241760942083, 5.836185198503317
1.436259034268511, 5.9180342592388335
1.7991461732953788, 5.959384287986134
2.224894905898376, 6.127711742741259
2.823149009304528, 5.959384287986134
3.582266467442141, 6.170528452803555
4.487366730406913, 6.344821524494574
5.657446359479038, 6.661755245740562
6.996224071947426, 6.945985989066363
8.877441045105435, 7.192085978531972
11.19223682881746, 7.764633354761375
14.020082436896965, 8.152491054776625
17.904824651716712, 8.441338162423715
22.719258793596858, 9.24114514156283
28.276940373468673, 10.187427870118604
35.88033609557555, 10.771050744959211
44.9459100640465, 11.873994063370166
55.9408244187673, 12.999041199192183
71.44113856667074, 14.531095950098768
88.91737330937075, 16.0190636114572
112.10260876061186, 18.541511884348612
141.33326346877323, 20.72680251507808
178.18596017647536, 23.169643935282288
224.6477895071656, 25.900392904139192
283.22477732711036, 29.359045231945576
357.0757347222079, 32.819279006338945
450.1829123492383, 35.928867544851805
567.5682604591834, 41.2978458842891
715.561175416426, 43.66373340437325
890.605663959565, 48.80991934150401
