0      ,  0
0.28270, 0.98771
0.32729, 5.01074
0.37817, 9.96231
0.42788, 5.97043
0.47689, 5.00560
0.52986, 0.94481
0.58119, 3.97007
0.62742, 0.97585
0.67526, 4.99877
0.72823, 0.97238
0.77306, 3.96347
0.82788, 5.99107
0.87760, 1.93039
0.92544, 5.98771
0.97841, 1.96132
1.02648, 4.98669
1.07596, 1.99236
1.12777, 2.95372
1.17678, 1.95450
1.22556, 1.95282
1.27689, 4.97808
1.32964, 1.91484
1.37796, 3.87386
1.42346, 4.00989
1.47874, 4.00799
1.52475, 1.94253
1.57376, 0.94330
1.62882, 1.93895
1.72592, 3.89629
1.77191, 1.93402
1.87946, 0.93278
1.92451, 2.99511
