0      , 0
0.27553, 7.97194
0.32415, 9.05612
0.37601, 19.00510
0.42788, 16.96429
0.47974, 13.96684
0.52836, 14.92347
0.57699, 5.99490
0.62561, 10.01276
0.67747, 7.97194
0.73258, 16.00765
0.78120, 7.90816
0.82658, 7.97194
0.87844, 10.96939
0.92707, 10.07653
0.97893, 5.93112
1.02755, 7.97194
1.07618, 6.95153
1.12804, 6.95153
1.17990, 3.89031
1.22853, 10.01276
1.28039, 7.90816
1.33225, 7.97194
1.38088, 2.93367
1.42950, 2.93367
1.48136, 6.95153
1.52674, 5.93112
1.57861, 2.99745
1.63047, 5.86735
1.67909, 0.89286
1.73096, 2.93367
1.77634, 0.95663
1.82820, 1.97704
1.92869, 0.89286
