mass, probability
0.0001, 0.01
0.014173427991886367, 0.010949999999999998
0.03164300202839743, 0.011399999999999999
0.04999999999999993, 0.01188963310191438
0.07101926977687611, 0.012549999999999999
0.09999999999999987, 0.013140791894204308
0.12332657200811348, 0.013699999999999999
0.1499999999999999, 0.014250975047926356
0.19999999999999996, 0.014991097150407723
0.25, 0.015378780156469391
0.2999999999999998, 0.015343536246827421
0.34999999999999987, 0.015043963014870678
0.4, 0.014339084822031282
0.44999999999999973, 0.013405121216519081
0.47636916835699783, 0.012899999999999998
0.4999999999999999, 0.012153962424229153
0.5230223123732248, 0.011399999999999999
0.5499999999999999, 0.010797071903013317
0.5783215010141985, 0.009949999999999999
0.6, 0.009387315517334523
0.6250507099391479, 0.008599999999999998
0.65, 0.007942315222013763
0.6717799188640973, 0.0072499999999999995
0.6999999999999998, 0.006479692971872016
0.7228448275862066, 0.005949999999999999
0.7499999999999999, 0.005228534179582089
0.7824797160243405, 0.00455
0.7999999999999999, 0.004135972980681026
0.8499999999999998, 0.0030786556914219297
0.9000000000000002, 0.0023561555437615483
0.9500000000000001, 0.0017217651702060924
1, 0.0012459723900395021
1.0392494929006082, 0.000899999999999998
1.0822515212981743, 0.0006999999999999992
1.1252281947261662, 0.0004500000000000025
1.1811866125760648, 0.0002999999999999982
1.2371703853955371, 0.00020000000000000226
1.301774847870182, 0.0000999999999999994
1.3491632860040563, 0.00004999999999999796
1.4094827586206895, 0
1.443965517241379, 0
1.487068965517241, 0
1.521551724137931, 0
1.5560344827586206, 0
1.612068965517241, 0
1.668103448275862, 0
1.737043610547667, -0.00005000000000000143
1.7801724137931032, 0
1.8448275862068964, 0
1.9310598377281947, 0.00004999999999999796
