0.0	992999.958985697
2.0	972142.422845953
2.5	1.2584691228373463e6
3.0	1.392598342489276e6
3.5	1.4014719287961258e6
4.0	1.4066675662080299e6
4.5	1.4458737302408046e6
5.0	1.4881233128506981e6
5.5	1.4819822286033796e6
6.0	1.400554065128489e6
6.5	1.253259501493936e6
7.0	1.0668643520066878e6
7.5	881168.9361178543
8.0	706713.6013025957
8.5	564659.8422150532
9.0	451776.9122993862
9.5	367044.21400921815
10.0	304497.71809196396
10.5	259879.07548558371
11.0	227774.9799760571
11.5	203133.30841091956
12.0	184485.42241757724
12.5	170305.81833312003
13.0	157265.22810040653
13.5	147404.56529865868
14.0	138966.82440221473
14.5	130390.24380888435
15.0	241081.81755070802
16.0	216740.6458955342
17.0	195885.62250879308
18.0	179451.74132537647
19.0	164657.38864029676
20.0	150900.25258129113
21.0	138913.11721980612
22.0	128144.69564239806
23.0	118548.78858827398
24.0	108946.03650505985
25.0	100251.4301953628
26.0	92795.6173812598
27.0	85573.5652788154
28.0	79342.32067469982
29.0	73560.78273695764
30.0	131687.45932728262
32.0	114684.94753802867
34.0	102765.61560072823
36.0	92477.9830580533
38.0	85002.07264388388
