E_vis_MeV,Counts
0.9051905006054605,66
0.9252492344829069,91
0.9453079683603531,124
0.9653667022377995,159
0.9854254361152458,198
1.0054841699926922,233
1.0255429038701385,263
1.0456016377475847,290
1.0656603716250312,314
1.0857191055024775,334
1.1057778393799238,354
1.1258365732573703,369
1.1458953071348166,382
1.1659540410122629,392
1.1860127748897091,404
1.2060715087671556,415
1.226130242644602,425
1.2461889765220482,434
1.2662477103994945,444
1.286306444276941,452
1.3063651781543872,457
1.3264239120318335,458
1.34648264590928,452
1.3665413797867263,438
1.3866001136641726,428
1.4066588475416189,413
1.4267175814190654,402
1.4467763152965116,394
1.466835049173958,390
1.4868937830514042,388
1.5069525169288507,389
1.527011250806297,384
1.5470699846837432,371
1.5671287185611897,362
1.587187452438636,354
1.6072461863160823,348
1.6273049201935286,347
1.647363654070975,345
1.6674223879484213,341
1.6874811218258676,334
1.707539855703314,327
1.7275985895807604,323
1.7476573234582067,323
1.767716057335653,325
1.7877747912130995,325
1.8078335250905457,324
1.827892258967992,319
1.8479509928454383,313
1.8680097267228848,310
1.888068460600331,308
1.9081271944777773,307
1.9281859283552236,310
1.9482446622326701,311
1.9683033961101164,309
1.9883621299875627,306
2.008420863865009,301
2.0284795977424555,300
2.048538331619902,302
2.068597065497348,308
2.0886557993747945,315
2.1087145332522406,321
2.128773267129687,325
2.1488320010071336,326
2.1688907348845796,324
2.188949468762026,321
2.2090082026394726,319
2.2290669365169187,320
2.249125670394365,324
2.2691844042718117,330
2.2892431381492577,338
2.3093018720267042,344
2.3293606059041503,347
2.349419339781597,347
2.3694780736590433,344
2.3895368075364893,340
2.409595541413936,334
2.4296542752913823,330
2.4497130091688284,329
2.469771743046275,331
2.4898304769237214,337
2.5098892108011674,345
2.529947944678614,349
2.55000667855606,352
2.5700654124335065,353
2.590124146310953,351
2.610182880188399,349
2.6302416140658456,345
2.650300347943292,342
2.670359081820738,342
2.6904178156981846,344
2.710476549575631,349
2.730535283453077,358
2.7505940173305237,365
2.7706527512079697,373
2.790711485085416,381
2.8107702189628627,385
2.8308289528403088,384
2.8508876867177553,382
2.8709464205952018,377
2.891005154472648,371
2.9110638883500943,363
2.931122622227541,360
2.951181356104987,358
2.9712400899824334,359
2.9912988238598794,363
3.011357557737326,369
3.0314162916147724,378
3.0514750254922185,387
3.071533759369665,396
3.0915924932471115,404
3.1116512271245576,410
3.131709961002004,413
3.1517686948794505,414
3.1718274287568966,412
3.191886162634343,409
3.211944896511789,405
3.2320036303892357,401
3.252062364266682,398
3.272121098144128,397
3.2921798320215747,398
3.312238565899021,401
3.3322972997764673,406
3.3523560336539138,413
3.3724147675313603,421
3.3924735014088063,430
3.412532235286253,438
3.432590969163699,445
3.4526497030411454,451
