N,Ec
43.0,0.9051905006054605
68.0,0.9252492344829069
99.0,0.9453079683603531
136.0,0.9653667022377995
174.0,0.9854254361152458
210.0,1.0054841699926922
240.0,1.0255429038701385
266.0,1.0456016377475847
289.0,1.0656603716250312
308.0,1.0857191055024775
326.0,1.1057778393799238
342.0,1.1258365732573703
354.0,1.1458953071348166
365.0,1.1659540410122629
376.0,1.1860127748897091
387.0,1.2060715087671556
398.0,1.226130242644602
408.0,1.2461889765220482
418.0,1.2662477103994945
425.0,1.286306444276941
428.0,1.3063651781543872
428.0,1.3264239120318335
422.0,1.34648264590928
409.0,1.3665413797867263
398.0,1.3866001136641726
382.0,1.4066588475416189
368.0,1.4267175814190654
361.0,1.4467763152965116
356.0,1.466835049173958
354.0,1.4868937830514042
349.0,1.5069525169288507
341.0,1.527011250806297
333.0,1.5470699846837432
327.0,1.5671287185611897
324.0,1.587187452438636
323.0,1.6072461863160823
320.0,1.6273049201935286
314.0,1.647363654070975
307.0,1.6674223879484213
303.0,1.6874811218258676
301.0,1.707539855703314
301.0,1.7275985895807604
300.0,1.7476573234582067
296.0,1.767716057335653
290.0,1.7877747912130995
285.0,1.8078335250905457
283.0,1.827892258967992
284.0,1.8479509928454383
287.0,1.8680097267228848
289.0,1.888068460600331
288.0,1.9081271944777773
284.0,1.9281859283552236
280.0,1.9482446622326701
276.0,1.9683033961101164
277.0,1.9883621299875627
280.0,2.008420863865009
285.0,2.0284795977424555
288.0,2.048538331619902
290.0,2.068597065497348
288.0,2.0886557993747945
285.0,2.1087145332522406
283.0,2.128773267129687
284.0,2.1488320010071336
288.0,2.1688907348845796
294.0,2.188949468762026
300.0,2.2090082026394726
304.0,2.2290669365169187
305.0,2.249125670394365
304.0,2.2691844042718117
301.0,2.2892431381492577
299.0,2.3093018720267042
299.0,2.3293606059041503
302.0,2.349419339781597
307.0,2.3694780736590433
314.0,2.3895368075364893
319.0,2.409595541413936
321.0,2.4296542752913823
320.0,2.4497130091688284
317.0,2.469771743046275
312.0,2.4898304769237214
307.0,2.5098892108011674
302.0,2.529947944678614
301.0,2.55000667855606
304.0,2.5700654124335065
310.0,2.590124146310953
317.0,2.610182880188399
324.0,2.6302416140658456
329.0,2.650300347943292
331.0,2.670359081820738
330.0,2.6904178156981846
328.0,2.710476549575631
324.0,2.730535283453077
321.0,2.7505940173305237
320.0,2.7706527512079697
322.0,2.790711485085416
327.0,2.8107702189628627
334.0,2.8308289528403088
342.0,2.8508876867177553
350.0,2.8709464205952018
357.0,2.891005154472648
362.0,2.9110638883500943
364.0,2.931122622227541
364.0,2.951181356104987
361.0,2.9712400899824334
357.0,2.9912988238598794
353.0,3.011357557737326
351.0,3.0314162916147724
351.0,3.0514750254922185
353.0,3.071533759369665
358.0,3.0915924932471115
366.0,3.1116512271245576
375.0,3.131709961002004
384.0,3.1517686948794505
392.0,3.1718274287568966
399.0,3.191886162634343
403.0,3.211944896511789
405.0,3.2320036303892357
404.0,3.252062364266682
401.0,3.272121098144128
397.0,3.2921798320215747
393.0,3.312238565899021
389.0,3.3322972997764673
387.0,3.3523560336539138
386.0,3.3724147675313603
