E_vis_MeV,Counts
3.472708436918592,434
3.492767170796038,442
3.5128259046734844,449
3.532884638550931,456
3.552943372428377,459
3.5730021063058235,460
3.59306084018327,460
3.613119574060716,457
3.6331783079381625,454
3.6532370418156086,449
3.673295775693055,444
3.6933545095705016,438
3.7134132434479477,434
3.733471977325394,431
3.7535307112028407,430
3.7735894450802867,430
3.793648178957733,433
3.8137069128351797,437
3.8337656467126258,442
3.8538243805900723,448
3.8738831144675183,454
3.893941848344965,460
3.9140005822224113,466
3.9340593160998574,471
3.954118049977304,474
3.9741767838547504,476
3.9942355177321964,477
4.014294251609643,476
4.034352985487089,474
4.054411719364536,471
4.0744704532419815,467
4.094529187119428,463
4.1145879209968745,459
4.134646654874321,455
4.1547053887517675,452
4.174764122629214,449
4.19482285650666,448
4.214881590384106,448
4.234940324261553,449
4.254999058138999,451
4.275057792016446,455
4.295116525893891,459
4.315175259771338,464
4.335233993648784,469
4.355292727526231,475
4.375351461403677,480
4.395410195281124,484
4.415468929158569,488
4.435527663036016,491
4.455586396913462,493
4.475645130790909,494
4.495703864668355,493
4.515762598545801,480
4.5358213324232475,477
4.555880066300694,474
4.5759388001781405,469
4.595997534055587,464
4.6160562679330335,459
4.636115001810479,453
4.656173735687926,447
4.676232469565372,442
4.696291203442819,437
4.716349937320265,432
4.736408671197711,429
4.756467405075157,426
4.776526138952604,423
4.79658487283005,422
4.816643606707497,422
4.836702340584943,422
4.856761074462389,423
4.876819808339835,424
4.896878542217282,426
4.916937276094728,428
4.936996009972175,429
4.95705474384962,431
4.977113477727067,433
4.997172211604513,433
5.01723094548196,434
5.037289679359406,433
5.057348413236853,432
5.0774071471142985,430
5.097465880991745,428
5.1175246148691915,424
5.137583348746638,420
5.1576420826240845,415
5.17770081650153,410
5.197759550378977,404
5.217818284256423,398
5.23787701813387,391
5.257935752011316,384
5.277994485888763,378
5.298053219766208,371
5.318111953643655,364
5.338170687521101,358
5.358229421398548,352
5.378288155275994,346
5.39834688915344,340
5.418405623030886,335
5.438464356908333,330
5.458523090785779,326
5.478581824663226,322
5.498640558540672,318
5.518699292418118,315
5.5387580262955645,312
5.558816760173011,309
5.5788754940504575,306
5.598934227927904,304
5.61899296180535,301
5.639051695682796,299
5.659110429560243,297
5.679169163437689,294
5.699227897315136,292
5.719286631192582,290
5.739345365070028,287
5.759404098947474,285
5.779462832824921,282
5.799521566702367,280
5.819580300579814,277
5.839639034457259,274
5.859697768334706,270
5.879756502212152,267
5.899815236089599,263
5.919873969967045,259
5.939932703844492,255
5.959991437721937,251
5.980050171599384,246
6.00010890547683,241
6.020167639354277,237
6.040226373231723,232
6.060285107109169,227
6.0803438409866155,222
6.100402574864062,216
6.1204613087415085,211
6.140520042618955,206
6.1605787764964015,201
6.180637510373847,196
6.200696244251294,191
6.22075497812874,187
6.240813712006187,182
6.260872445883633,178
6.280931179761079,174
6.300989913638525,170
6.321048647515972,166
6.341107381393418,162
6.361166115270865,158
6.381224849148311,155
6.401283583025757,152
6.421342316903203,149
6.44140105078065,146
6.461459784658096,143
6.481518518535543,140
6.5015772524129885,138
6.521635986290435,135
6.5416947201678814,133
6.561753454045328,130
6.5818121879227744,128
6.601870921800221,126
6.621929655677667,123
6.641988389555113,121
6.66204712343256,119
6.682105857310006,116
6.702164591187453,114
6.722223325064898,111
6.742282058942345,109
6.762340792819791,106
6.782399526697238,104
6.802458260574684,101
6.822516994452131,98
6.842575728329576,96
6.862634462207023,93
6.882693196084469,90
6.902751929961916,87
6.922810663839362,84
6.942869397716808,82
6.962928131594254,79
6.982986865471701,76
7.003045599349147,74
7.023104333226594,71
7.04316306710404,69
7.063221800981486,67
7.0832805348589325,64
7.103339268736379,62
7.1233980026138255,60
