# Expected energy spectrum of the background sources
# candidate interactions in the detectors of Experimental Hall 1 (EH1)
#
# The three data taking periods are provided separately.
#
# Emin:        Lower bin edge in prompt true energy [MeV]
# Emax:        Upper bin edge in prompt true energy [MeV]
# Ec:          Center of bin in prompt true energy [MeV]
# Nbkg:        Estimated background in the given energy bin
# Nacc:        Estimated number of accidental events in the given energy bin
# Nalphan:     Estimated number of Alpha-N events in the given energy bin
# Namc:        Estimated number of AmC events in the given energy bin
# Nlihe:       Estimated number of Li9/He8 events in the given energy bin
# Nfastn:      Estimated number of fast neutron and Muon-x events in the given energy bin

# Estimated number = Background rate in the given bin * DAQ time * muon veto efficiency * multiplicity cut efficiency

# Six-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    1232.47 1170.36 4.21    37.58   10.18   10.14   
1.30    1.55    1.43    441.71  411.21  2.40    12.34   10.35   5.41    
1.55    1.80    1.68    344.26  314.07  2.04    8.93    13.75   5.47    
1.80    2.05    1.92    192.15  161.75  1.59    6.41    16.91   5.49    
2.05    2.30    2.17    118.90  87.66   1.33    4.59    19.82   5.50    
2.30    2.55    2.42    126.95  94.91   0.76    3.28    22.50   5.50    
2.55    2.80    2.67    179.94  146.65  0.51    2.33    24.95   5.50    
2.80    3.05    2.92    102.45  67.76   0.40    1.67    27.13   5.50    
3.05    3.30    3.17    46.00   10.07   0.22    1.19    29.03   5.49    
3.30    3.55    3.42    39.89   2.69    0.15    0.85    30.71   5.49    
3.55    3.80    3.67    39.38   1.05    0.13    0.61    32.11   5.48    
3.80    4.05    3.92    40.05   0.77    0.09    0.43    33.27   5.48    
4.05    4.30    4.17    40.59   0.61    0.09    0.31    34.12   5.47    
4.30    4.55    4.42    40.94   0.39    0.15    0.22    34.72   5.47    
4.55    4.80    4.67    41.30   0.19    0.34    0.16    35.15   5.47    
4.80    5.05    4.92    41.25   0.07    0.32    0.11    35.28   5.47    
5.05    5.30    5.17    41.10   0.03    0.37    0.08    35.15   5.46    
5.30    5.55    5.42    40.88   0.03    0.54    0.06    34.80   5.46    
5.55    5.80    5.67    40.75   0.03    1.06    0.04    34.18   5.45    
5.80    6.05    5.92    40.21   0.03    1.30    0.03    33.40   5.45    
6.05    6.30    6.17    39.46   0.03    1.52    0.02    32.44   5.45    
6.30    6.55    6.42    38.37   0.03    1.61    0.02    31.26   5.45    
6.55    6.80    6.67    36.32   0.02    0.92    0.01    29.91   5.45    
6.80    7.05    6.92    34.60   0.02    0.73    0.01    28.39   5.45    
7.05    7.30    7.17    32.74   0.02    0.54    0.01    26.72   5.44    
7.30    12.00   9.65    269.53  0.23    0.54    0.01    174.46  94.28   

# Eight-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    6985.16 6675.88 25.68   137.60  70.92   75.07   
1.30    1.55    1.43    2571.84 2399.82 14.65   45.17   72.14   40.07   
1.55    1.80    1.68    2023.54 1842.09 12.45   32.71   95.76   40.52   
1.80    2.05    1.92    1140.24 948.59  9.72    23.47   117.77  40.69   
2.05    2.30    2.17    720.05  516.31  8.11    16.80   138.09  40.74   
2.30    2.55    2.42    776.29  562.15  4.61    12.01   156.76  40.76   
