# Expected energy spectrum of the background sources
# candidate interactions in the detectors of Experimental Hall 2 (EH2)
#
# The three data taking periods are provided separately.
#
# Emin:        Lower bin edge in prompt true energy [MeV]
# Emax:        Upper bin edge in prompt true energy [MeV]
# Ec:          Center of bin in prompt true energy [MeV]
# Nbkg:        Estimated background in the given energy bin
# Nacc:        Estimated number of accidental events in the given energy bin
# Nalphan:     Estimated number of Alpha-N events in the given energy bin
# Namc:        Estimated number of AmC events in the given energy bin
# Nlihe:       Estimated number of Li9/He8 events in the given energy bin
# Nfastn:      Estimated number of fast neutron and Muon-x events in the given energy bin

# Estimated number = Background rate in the given bin * DAQ time * muon veto efficiency * multiplicity cut efficiency

# Six-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    509.04  478.60  1.24    21.37   4.46    3.37    
1.30    1.55    1.43    190.53  176.45  0.73    7.01    4.54    1.80    
1.55    1.80    1.68    149.36  135.80  0.63    5.08    6.03    1.82    
1.80    2.05    1.92    83.08   69.69   0.50    3.64    7.41    1.83    
2.05    2.30    2.17    50.68   37.12   0.42    2.61    8.69    1.83    
2.30    2.55    2.42    53.93   40.12   0.25    1.86    9.87    1.83    
2.55    2.80    2.67    78.00   63.73   0.17    1.33    10.94   1.83    
2.80    3.05    2.92    44.94   30.13   0.13    0.95    11.90   1.83    
3.05    3.30    3.17    19.69   4.38    0.07    0.68    12.73   1.83    
3.30    3.55    3.42    17.01   1.18    0.05    0.48    13.47   1.83    
3.55    3.80    3.67    16.76   0.46    0.04    0.34    14.08   1.83    
3.80    4.05    3.92    17.03   0.34    0.03    0.25    14.59   1.83    
4.05    4.30    4.17    17.26   0.27    0.03    0.18    14.96   1.82    
4.30    4.55    4.42    17.39   0.17    0.05    0.13    15.22   1.82    
4.55    4.80    4.67    17.52   0.08    0.11    0.09    15.41   1.82    
4.80    5.05    4.92    17.49   0.03    0.11    0.06    15.47   1.82    
5.05    5.30    5.17    17.42   0.01    0.13    0.05    15.41   1.82    
5.30    5.55    5.42    17.31   0.01    0.19    0.03    15.26   1.82    
5.55    5.80    5.67    17.21   0.01    0.38    0.02    14.99   1.81    
5.80    6.05    5.92    16.95   0.01    0.46    0.02    14.65   1.81    
6.05    6.30    6.17    16.60   0.01    0.54    0.01    14.22   1.81    
6.30    6.55    6.42    16.11   0.01    0.57    0.01    13.71   1.81    
6.55    6.80    6.67    15.27   0.01    0.32    0.01    13.12   1.81    
6.80    7.05    6.92    14.53   0.01    0.25    0.00    12.45   1.81    
7.05    7.30    7.17    13.73   0.01    0.19    0.00    11.72   1.81    
7.30    12.00   9.65    108.17  0.09    0.18    0.01    76.51   31.38   

# Eight-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    5354.56 5092.36 17.40   130.01  62.70   52.09   
1.30    1.55    1.43    2039.62 1895.08 10.29   42.67   63.78   27.80   
1.55    1.80    1.68    1622.13 1469.55 8.90    30.90   84.66   28.12   
1.80    2.05    1.92    908.66  747.10  7.03    22.17   104.12  28.23   
2.05    2.30    2.17    571.38  399.19  5.97    15.87   122.08  28.27   
2.30    2.55    2.42    616.16  434.49  3.45    11.34   138.59  28.29   
2.55    2.80    2.67    883.97  691.62  2.35    8.08    153.65  28.27   
2.80    3.05    2.92    536.52  333.52  1.87    5.77    167.10  28.26   
3.05    3.30    3.17    260.51  48.33   1.04    4.12    178.80  28.22   
3.30    3.55    3.42    233.14  12.13   0.72    2.94    189.13  28.22   
3.55    3.80    3.67    232.44  3.76    0.63    2.10    197.77  28.19   
3.80    4.05    3.92    237.31  2.26    0.45    1.50    204.91  28.18   
4.05    4.30    4.17    241.48  1.72    0.42    1.07    210.14  28.14   
4.30    4.55    4.42    244.46  1.11    0.68    0.76    213.82  28.09   
4.55    4.80    4.67    247.26  0.54    1.56    0.55    216.49  28.12   
4.80    5.05    4.92    247.54  0.21    1.52    0.39    217.31  28.11   
5.05    5.30    5.17    246.83  0.11    1.85    0.28    216.50  28.08   
5.30    5.55    5.42    245.38  0.09    2.70    0.20    214.33  28.07   
5.55    5.80    5.67    244.04  0.09    5.30    0.14    210.49  28.02   
5.80    6.05    5.92    240.41  0.09    6.52    0.10    205.69  28.01   
6.05    6.30    6.17    235.58  0.09    7.61    0.07    199.77  28.02   
6.30    6.55    6.42    228.71  0.08    8.01    0.05    192.54  28.01   
6.55    6.80    6.67    216.87  0.07    4.53    0.04    184.21  28.01   
6.80    7.05    6.92    206.50  0.07    3.53    0.03    174.86  28.00   
7.05    7.30    7.17    195.25  0.07    2.60    0.02    164.58  27.98   
7.30    12.00   9.65    1562.49 0.74    2.59    0.05    1074.53 484.59  

# Seven-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    4060.69 3879.16 13.35   68.68   53.47   46.03   
1.30    1.55    1.43    1568.55 1459.16 7.90    22.54   54.38   24.56   
1.55    1.80    1.68    1267.80 1147.60 6.83    16.33   72.19   24.85   
1.80    2.05    1.92    718.01  587.17  5.40    11.71   88.79   24.95   
2.05    2.30    2.17    458.52  316.47  4.58    8.38    104.10  24.98   
2.30    2.55    2.42    496.00  344.18  2.65    5.99    118.18  24.99   
2.55    2.80    2.67    696.10  534.03  1.80    4.27    131.03  24.98   
2.80    3.05    2.92    444.08  272.13  1.43    3.05    142.49  24.97   
3.05    3.30    3.17    221.32  40.94   0.80    2.18    152.47  24.94   
3.30    3.55    3.42    198.05  9.73    0.55    1.55    161.28  24.93   
3.55    3.80    3.67    197.81  2.67    0.48    1.11    168.65  24.91   
3.80    4.05    3.92    202.08  1.30    0.35    0.79    174.74  24.90   
4.05    4.30    4.17    205.87  0.93    0.32    0.57    179.19  24.86   
4.30    4.55    4.42    208.69  0.61    0.52    0.40    182.33  24.82   
4.55    4.80    4.67    211.27  0.32    1.20    0.29    184.61  24.85   
4.80    5.05    4.92    211.67  0.15    1.17    0.21    185.31  24.84   
5.05    5.30    5.17    211.10  0.09    1.42    0.15    184.62  24.81   
5.30    5.55    5.42    209.82  0.08    2.07    0.11    182.77  24.80   
5.55    5.80    5.67    208.46  0.07    4.07    0.08    179.50  24.75   
5.80    6.05    5.92    205.27  0.06    5.00    0.05    175.40  24.75   
6.05    6.30    6.17    201.06  0.07    5.84    0.04    170.36  24.76   
6.30    6.55    6.42    195.18  0.06    6.15    0.03    164.19  24.75   
6.55    6.80    6.67    185.39  0.05    3.48    0.02    157.09  24.75   
6.80    7.05    6.92    176.63  0.05    2.71    0.01    149.11  24.74   
7.05    7.30    7.17    167.12  0.05    2.00    0.01    140.34  24.72   
7.30    12.00   9.65    1347.01 0.53    1.99    0.03    916.30  428.17  
