# True energy spectrum of the prompt signals from antineutrino after non-linearity corretion
# candidate interactions in the detectors of Experimental Hall 2 (EH2)
#
# Emin:        Lower bin edge in true prompt energy [MeV]
# Emax:        Upper bin edge in true prompt energy [MeV]
# Ec:          Center of bin in true prompt energy [MeV]
# Nobs_xAD:    Total number of observed events, including backgrounds
# Npred_xAD:   Total predicted number of events from best fit, backgrounds subtracted

# Emin  Emax    Ec      Nobs_6AD   Nobs_8AD   Nobs_7AD   Npred_6AD  Npred_8AD  Npred_7AD
0.70    1.30    1.00    2497.14    35366.46   29696.28   2085.70    30256.95   25772.37   
1.30    1.55    1.43    2940.18    42595.25   35793.16   2784.99    40342.06   34363.45   
1.55    1.80    1.68    4047.11    58260.61   50118.89   3951.17    57217.86   48726.53   
1.80    2.05    1.92    5018.64    72885.51   61815.60   4954.11    71695.00   61048.68   
2.05    2.30    2.17    5716.42    83912.52   71132.66   5746.33    83093.49   70742.44   
2.30    2.55    2.42    6392.55    92660.00   79148.53   6389.55    92313.00   78604.12   
2.55    2.80    2.67    6745.14    97778.93   83202.24   6707.97    96873.42   82488.43   
2.80    3.05    2.92    6773.73    98150.64   83624.81   6762.13    97608.41   83120.38   
3.05    3.30    3.17    6770.88    96323.65   81768.17   6652.18    95967.08   81739.70   
3.30    3.55    3.42    6340.03    90801.27   77274.51   6276.97    90530.39   77116.91   
3.55    3.80    3.67    5700.70    82749.32   69963.04   5715.63    82403.81   70198.73   
3.80    4.05    3.92    5228.59    74275.37   63144.03   5140.18    74068.54   63105.23   
4.05    4.30    4.17    4636.83    68228.42   58059.88   4708.75    67838.06   57812.35   
4.30    4.55    4.42    4261.45    61517.74   52438.06   4278.48    61604.02   52510.44   
4.55    4.80    4.67    3864.03    55264.71   46859.36   3805.11    54775.89   46690.95   
4.80    5.05    4.92    3267.49    47690.57   40593.90   3308.87    47615.31   40591.33   
5.05    5.30    5.17    2853.06    40209.44   34435.89   2790.49    40115.40   34205.53   
5.30    5.55    5.42    2371.58    32771.59   27854.38   2259.08    32455.32   27682.55   
5.55    5.80    5.67    1788.33    25893.21   21942.87   1781.46    25582.26   21821.95   
5.80    6.05    5.92    1427.25    20640.62   17569.34   1414.34    20298.15   17313.88   
6.05    6.30    6.17    1123.07    15319.39   13085.86   1062.27    15231.48   12992.08   
6.30    6.55    6.42    796.83     11150.19   9370.33    753.75     10796.25   9209.24    
6.55    6.80    6.67    499.45     7505.06    6558.04    522.02     7468.69    6371.89    
6.80    7.05    6.92    374.82     5264.63    4369.44    346.73     4954.32    4227.60    
7.05    7.30    7.17    214.13     3341.53    2780.66    217.15     3098.05    2642.93    
7.30    12.00   9.65    361.58     5286.37    4440.07    271.59     3829.12    3258.62    
