# Taken from Fig. 4.13 of https://www.awa.tohoku.ac.jp/~sanshiro/research/SanshirosDoctoralDissertation.pdf
E_positron_MeV,scale_to_visible
1.025, 0.8285714285714287
1.1, 0.8357142857142859
1.1512591815320046, 0.8405109000578197
1.2057974816369361, 0.8456403783968993
1.2628147953830013, 0.8521089416879029
1.3198321091290666, 0.8570320363192497
1.3768494228751313, 0.8631772316744117
1.4313877229800633, 0.8690341122020686
1.4884050367261281, 0.8746926997451658
1.54294333683106, 0.8806116024584022
1.5974816369359917, 0.8867028931194725
1.66303777544596, 0.8926446559736172
1.7139952780692553, 0.8974302016189477
1.7710125918153201, 0.9028177934342678
1.831610703043022, 0.9089589266976466
1.8875262329485838, 0.9131040604856844
1.9420645330535153, 0.9183424524059363
1.9990818467995806, 0.9225528406535752
2.058578174186779, 0.926592714735422
2.118074501573977, 0.9304751911257683
2.172612801678909, 0.9341740368760306
2.232109129066107, 0.9373482236546246
2.2940844700944387, 0.940358454504572
2.353580797481637, 0.9441064870334284
2.4130771248688356, 0.946703548943187
2.4700944386149004, 0.9489169539799132
2.529590766002099, 0.9516976465297557
2.5890870933892973, 0.954399640233848
2.6510624344176286, 0.956902919352421
2.708079748163694, 0.9589195772747714
2.7675760755508922, 0.9611572477889372
2.8270724029380903, 0.9635628091740369
2.889047743966422, 0.9651899078099236
2.9460650577124867, 0.9678623894468597
3.005561385099685, 0.9694888322590317
3.0650577124868836, 0.9719862089641733
3.124554039874082, 0.9737831659421377
3.1840503672612805, 0.9758147204317195
3.243546694648479, 0.9777364712936591
3.3030430220356766, 0.9791399340428723
3.3650183630640087, 0.980552203567681
3.4220356768100735, 0.9825153650127418
3.481532004197272, 0.9839791635436967
3.5410283315844704, 0.9853957427672013
3.600524658971669, 0.9868647878878729
3.6600209863588664, 0.9883653125468447
3.719517313746065, 0.9900033728076751
3.7790136411332633, 0.991398965672313
3.8409889821615955, 0.9924173193674113
3.9029643231899267, 0.9936437565582372
3.9599816369359915, 0.9946744865837206
4.021956977964324, 0.9961902263528707
4.081453305351522, 0.9967714735421976
4.138470619097587, 0.9980671938240144
4.2004459601259185, 0.998348823264878
4.259942287513116, 0.9995484185279568
4.319438614900315, 1.0004377154849349
4.378934942287513, 1.0012404437115876
4.440910283315844, 1.001733098485984
4.500406610703044, 1.0025648328586418
4.559902938090241, 1.003238719832109
4.6193992654774405, 1.0039692699745166
4.681374606505772, 1.0041669165042724
4.738391920251836, 1.0052411557487635
4.800367261280169, 1.0057150352271025
4.859863588667366, 1.0060860440713537
4.919359916054564, 1.007412681756858
4.978856243441763, 1.007665642332484
5.038352570828961, 1.0085088442512369
5.09784889821616, 1.0093632888622397
5.157345225603358, 1.0097655274071855
5.216841552990557, 1.0104774396642182
5.2763378803777545, 1.0107854894318693
5.335834207764952, 1.011873782041673
5.397809548793285, 1.0117118872732724
5.459784889821616, 1.011873782041673
5.519281217208814, 1.0128204167291261
5.578777544596013, 1.0130452705741269
5.638273871983211, 1.0137085894168791
5.697770199370408, 1.0142007694998252
5.757266526757608, 1.0147429171038824
5.816762854144805, 1.0149351671413582
5.876259181532005, 1.0155498925698296
5.935755508919202, 1.0161325138659871
5.995251836306402, 1.0163746065057713
6.054748163693599, 1.01711824813871
6.114244491080797, 1.017457152850647
6.17621983210913, 1.0173782041672912
6.238195173137461, 1.0171690900914405
6.2976915005246585, 1.018052640783491
6.357187827911858, 1.01832059161545
6.4166841552990554, 1.0188689851596462
6.476180482686253, 1.0190488682356469
6.535676810073452, 1.0198114975266077
6.59517313746065, 1.0195173137460651
6.654669464847849, 1.020668940188877
6.7166448058761805, 1.0201202968070755
6.776141133263378, 1.0208055388997153
6.833158447009444, 1.0217378703842503
6.895133788037775, 1.0217918602908111
6.957109129066106, 1.021812321990706
7.016605456453306, 1.0218258132214062
7.076101783840503, 1.0228588917203818
7.135598111227701, 1.0229863088992155
7.1950944386149, 1.0231187228301604
7.254590766002098, 1.0231187228301604
7.314087093389297, 1.0236902263528707
7.3735834207764945, 1.0243204417128866
7.433079748163692, 1.0242021436066557
7.495055089192025, 1.0243700344775895
7.557030430220356, 1.0241395592864637
7.616526757607554, 1.0250747014440615
7.676023084994753, 1.0256570729026133
7.735519412381951, 1.0257694998251137
7.79501573976915, 1.0258327087393195
7.854512067156348, 1.02595188127717
7.914008394543545, 1.026272298006296
7.973504721930745, 1.0271123769549793
